,Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
0,,01/01/2020,,,,,Rent and Utilities,-282.34,GDP,-282.33898,GDP,,,,,,,
1,,01/01/2020,,,,,Tips,19.87,GDP,19.87024,GDP,,,,,,,
2,,01/01/2020,,,,,Sales,21.87,GDP,21.87432,GDP,,,,,,,
3,,01/01/2020,,,,,Tips,28.86,GDP,28.85662,GDP,,,,,,,
4,,01/01/2020,,,,,Sales,17.56,GDP,17.55702,GDP,,,,,,,
5,,01/01/2020,,,,,Sales,5.81,GDP,5.8097,GDP,,,,,,,
6,,01/01/2020,,,,,Sales,5.55,GDP,5.55386,GDP,,,,,,,
7,,01/01/2020,,,,,Sales,32.7,GDP,32.70488,GDP,,,,,,,
8,,01/01/2020,,,,,Sales,7.78,GDP,7.7818,GDP,,,,,,,
9,,01/01/2020,,,,,Sales,7.02,GDP,7.02494,GDP,,,,,,,
10,,01/01/2020,,,,,Tips,32.69,GDP,32.69422,GDP,,,,,,,
11,,01/01/2020,,,,,Sales,15.96,GDP,15.95802,GDP,,,,,,,
12,,01/01/2020,,,,,Sales,33.14,GDP,33.14194,GDP,,,,,,,
13,,01/01/2020,,,,,Sales,5.94,GDP,5.93762,GDP,,,,,,,
14,,01/01/2020,,,,,Sales,32.49,GDP,32.49168,GDP,,,,,,,
15,,01/01/2020,,,,,Tips,36.93,GDP,36.92624,GDP,,,,,,,
16,,01/01/2020,,,,,Sales,30.39,GDP,30.39166,GDP,,,,,,,
17,,01/01/2020,,,,,Sales,33.2,GDP,33.19524,GDP,,,,,,,
18,,01/01/2020,,,,,Sales,6.34,GDP,6.3427,GDP,,,,,,,
19,,01/01/2020,,,,,Sales,31.48,GDP,31.47898,GDP,,,,,,,
20,,01/01/2020,,,,,Labor & Benefits Cost,-274.34,GDP,-274.34022,GDP,,,,,,,
21,,01/01/2020,,,,,Sales,18.48,GDP,18.48444,GDP,,,,,,,
22,,01/01/2020,,,,,Sales,22.11,GDP,22.10884,GDP,,,,,,,
23,,01/01/2020,,,,,Sales,35.32,GDP,35.31658,GDP,,,,,,,
24,,01/01/2020,,,,,Sales,14,GDP,13.99658,GDP,,,,,,,
25,,01/01/2020,,,,,Sales,31.7,GDP,31.70284,GDP,,,,,,,
26,,01/01/2020,,,,,Sales,35.73,GDP,35.73232,GDP,,,,,,,
27,,01/01/2020,,,,,Sales,15.54,GDP,15.54228,GDP,,,,,,,
28,,01/01/2020,,,,,Sales,11.44,GDP,11.43818,GDP,,,,,,,
29,,01/01/2020,,,,,Sales,36.12,GDP,36.11608,GDP,,,,,,,
30,,01/01/2020,,,,,Sales,27.53,GDP,27.53478,GDP,,,,,,,
31,,01/01/2020,,,,,Sales,13.98,GDP,13.97526,GDP,,,,,,,
32,,01/01/2020,,,,,Sales,9.6,GDP,9.60466,GDP,,,,,,,
33,,01/01/2020,,,,,Sales,28.29,GDP,28.29164,GDP,,,,,,,
34,,01/01/2020,,,,,Sales,29.54,GDP,29.53886,GDP,,,,,,,
35,,01/01/2020,,,,,Tips,5.7,GDP,5.7031,GDP,,,,,,,
36,,01/01/2020,,,,,Sales,11.66,GDP,11.66204,GDP,,,,,,,
37,,01/01/2020,,,,,Sales,27.91,GDP,27.90788,GDP,,,,,,,
38,,01/01/2020,,,,,Sales,18.66,GDP,18.655,GDP,,,,,,,
39,,01/01/2020,,,,,Sales,26.74,GDP,26.73528,GDP,,,,,,,
40,,02/01/2020,,,,,Food and Beverage Cost,-358.09,GDP,-358.09004,GDP,,,,,,,
41,,02/01/2020,,,,,Sales,8.39,GDP,8.38942,GDP,,,,,,,
42,,02/01/2020,,,,,Sales,17.88,GDP,17.87682,GDP,,,,,,,
43,,02/01/2020,,,,,Sales,19.25,GDP,19.25196,GDP,,,,,,,
44,,02/01/2020,,,,,Sales,6.08,GDP,6.0762,GDP,,,,,,,
45,,02/01/2020,,,,,Sales,26.43,GDP,26.42614,GDP,,,,,,,
46,,02/01/2020,,,,,Sales,17.72,GDP,17.71692,GDP,,,,,,,
47,,02/01/2020,,,,,Tips,14.9,GDP,14.90268,GDP,,,,,,,
48,,02/01/2020,,,,,Sales,35.87,GDP,35.8709,GDP,,,,,,,
49,,02/01/2020,,,,,Sales,13.23,GDP,13.22906,GDP,,,,,,,
50,,02/01/2020,,,,,Tips,7.36,GDP,7.3554,GDP,,,,,,,
51,,02/01/2020,,,,,Sales,9,GDP,8.99704,GDP,,,,,,,
